diff_resolution,diff_framerate,diff_bitrate,diff_ratio,frames,umem,duration,size,codec_vp8,codec_h264,codec_mpeg4,o_codec_vp8,o_codec_h264,o_codec_mpeg4,utime
-844800,17.0,-4708850,-0.4444444444444444,6491,199392,216.55,7881069,0,1,0,1,0,0,11.493
-844800,4.0,-4846941,-0.4444444444444444,7494,218664,250.017,4783444,0,1,0,1,0,0,21.337
-281856,-22.97,-4945662,-0.11111111111111094,344,221160,49.178333,334032,0,0,1,0,1,0,12.301
-1900800,-8.0,-4702627,-0.4444444444444444,3280,114004,204.938,7617894,0,1,0,0,0,1,12.401
-134400,6.029198000000001,-4860209,0.0,8228,216820,274.541,4797322,1,0,0,0,1,0,24.186
-1152000,14.968605,-311691,0.0,25773,260044,860.056,289012098,1,0,0,0,0,1,12.733
-2048256,-17.97,-1410,-0.5555555555555554,1564,87044,130.35667,889537,0,0,1,1,0,0,18.209
-2048256,-13.0,152,-0.5555555555555554,21227,630452,1768.9417,12416387,0,0,1,0,1,0,43.107
-614400,13.039877,999982,-0.4444444444444444,8163,320740,326.583,43108248,1,0,0,0,1,0,14.097
-1996800,17.0,-4846941,-0.4444444444444444,7494,643296,250.017,4783444,0,1,0,0,1,0,85.173
-614400,-0.9699999999999989,-2643963,-0.4444444444444444,2593,332984,86.486,3849030,0,1,0,0,1,0,37.642
-896256,-17.97,-482283,-0.5555555555555554,839,221152,69.93833,495843,0,0,1,1,0,0,10.209
-844800,13.0,55017,-0.4444444444444444,11826,318552,473.0,9697521,0,1,0,0,1,0,14.565
-1152000,5.981791999999999,113356,0.0,21407,677060,714.371,58253046,1,0,0,0,1,0,61.16
-844800,0.0,-288724,-0.4444444444444444,6382,216820,255.28,7986338,0,0,0,1,0,0,20.281
-281856,-18.0,-2945662,-0.11111111111111094,344,221160,49.178333,334032,0,0,1,0,1,0,11.149
-2048256,-13.0,-57918,-0.5555555555555554,1716,628592,143.03334,913312,0,0,1,0,1,0,47.987
614400,18.002232,1810426,0.4444444444444444,13441,217080,448.575,115083398,1,0,0,1,0,0,10.741
-844800,1.0325580000000016,-2904097,-0.4444444444444444,16146,319024,645.84,7742262,1,0,0,0,1,0,70.936
-1152000,0.0,-4150414,0.0,2669,699572,106.765,11338266,0,1,0,0,1,0,77.993
1996800,5.0,5750818,0.4444444444444444,1170,216020,39.055,29256190,0,1,0,0,1,0,17.193
748800,4.0,2517449,0.4444444444444444,1109,219480,37.011665,12766479,0,1,0,1,0,0,13.349
0,-5.990779,-378138,0.0,9232,219480,385.052,21267505,1,0,0,1,0,0,13.341
-1996800,4.0,-299664,-0.4444444444444444,6078,221160,203.198,6079081,0,0,0,0,0,1,13.465
-96000,0.0,-4835983,0.0,11826,220900,473.0,9697521,0,1,0,0,1,0,24.81
614400,6.007017000000001,2285626,0.4444444444444444,34208,219480,1140.349,341338789,1,0,0,0,1,0,15.221
-1152000,-1.020779000000001,199862,0.0,9232,219480,385.052,21267505,1,0,0,1,0,0,34.094
-748800,0.0,482452,-0.4444444444444444,5628,216820,225.08,15149369,0,1,0,1,0,0,13.025
-1152000,0.0,-2114411,0.0,3945,216020,157.80167,56918844,0,1,0,0,0,1,14.469
-1152000,13.027847000000001,1502942,0.0,9886,662180,395.44,79678319,1,0,0,0,1,0,15.561
614400,17.0,-2240551,0.4444444444444444,1109,219480,37.011665,12766479,0,1,0,1,0,0,15.269
-96000,14.0,-4846941,0.0,7494,218932,250.017,4783444,0,1,0,0,1,0,13.685
-134400,0.030000000000001137,-319551,0.0,6676,217348,222.53334,13920824,0,1,0,0,1,0,18.577
1996800,0.06593300000000113,-3428997,0.4444444444444444,6843,219656,273.816,53770740,1,0,0,0,1,0,17.701
614400,0.41983000000000104,-4005040,0.4444444444444444,1793,158140,59.883,7447655,1,0,0,1,0,0,11.797
-1766400,4.0,-302636,-0.4444444444444444,13746,216820,458.625,29659524,0,1,0,1,0,0,35.234
-1900800,5.0,-4499551,-0.4444444444444444,6676,217348,222.53334,13920824,0,1,0,1,0,0,47.743
-1152000,6.002231999999999,1810426,0.0,13441,657080,448.575,115083398,1,0,0,0,1,0,53.871
-1996800,4.0,-4768704,-0.4444444444444444,5694,218664,189.956,5492026,0,0,0,0,0,1,14.409
614400,4.981791999999999,-4347644,0.4444444444444444,21407,165668,714.371,58253046,1,0,0,0,1,0,35.046
-1766400,14.0,753256,-0.4444444444444444,2862,221160,95.462,9656655,0,1,0,1,0,0,24.07
614400,5.052520000000001,1145100,0.4444444444444444,14305,165700,476.957,82698405,1,0,0,0,1,0,14.445
-748800,18.0,53979,-0.4444444444444444,17438,321692,581.233,21504146,0,1,0,0,1,0,17.869
-1152000,15.38983,174960,0.0,1793,652972,59.883,7447655,1,0,0,0,1,0,60.984
-748800,-0.9699999999999989,-2519875,-0.4444444444444444,8755,219480,292.092,17530090,0,1,0,0,0,1,14.233
0,1.0278470000000013,1072942,0.0,9886,315160,395.44,79678319,1,0,0,0,1,0,23.169
-748800,5.0,-129959,-0.4444444444444444,2417,219480,80.536,6946645,0,1,0,1,0,0,28.31
-748800,5.0,164908,-0.4444444444444444,4733,219464,157.891,8030894,0,1,0,1,0,0,17.297
-2048256,-17.0,-1662,-0.5555555555555554,344,651232,49.178333,334032,0,0,1,0,1,0,24.854
0,0.0,-38802,0.0,5978,120140,239.14166,14952277,0,1,0,0,1,0,13.069
-896256,-5.0,-54662,-0.5555555555555554,344,316652,49.178333,334032,0,0,1,0,1,0,10.549
-1766400,14.0,-302636,-0.4444444444444444,13746,216820,458.625,29659524,0,1,0,1,0,0,23.673
-1996800,-4.969999999999999,-655983,-0.4444444444444444,11826,220900,473.0,9697521,0,1,0,1,0,0,40.775
-896256,-22.97,-765662,-0.5555555555555554,344,322872,49.178333,334032,0,0,1,0,1,0,29.122
-2048256,-3.0,-185892,-0.5555555555555554,10879,648212,906.5983,6358485,0,0,1,0,1,0,32.71
-1900800,18.0,-2602888,-0.4444444444444444,3330,642716,110.966995,5508291,0,1,0,0,1,0,93.59
-748800,-4.969999999999999,391198,-0.4444444444444444,5978,335224,239.14166,14952277,0,1,0,0,1,0,25.342
748800,5.0,-2240551,0.4444444444444444,1109,219480,37.011665,12766479,0,1,0,0,1,0,30.97
-844800,17.0,175296,-0.4444444444444444,5694,310076,189.956,5492026,0,0,0,0,1,0,10.821
0,11.0,2971852,0.0,3050,217348,127.221664,48993895,0,1,0,0,0,1,11.517
-748800,-8.0,-241627,-0.4444444444444444,3280,83372,204.938,7617894,0,1,0,1,0,0,12.333
-896256,-3.0,-486217,-0.5555555555555554,3478,308772,290.01666,1913509,0,0,1,0,1,0,26.538
-134400,5.0,-2593092,0.0,4733,219464,157.891,8030894,0,1,0,0,1,0,19.937
-1900800,-0.9699999999999989,-2593092,-0.4444444444444444,4733,219464,157.891,8030894,0,1,0,0,0,1,16.461
-134400,5.062992000000001,-2739333,0.0,7636,221160,254.922,8306231,1,0,0,0,1,0,32.066
-134400,0.0,-531295,0.0,1056,216820,42.2,1522924,0,1,0,0,1,0,13.065
1766400,0.06593300000000113,-1428997,0.4444444444444444,6843,219656,273.816,53770740,1,0,0,0,1,0,36.566
-134400,10.0,-319802,0.0,5978,149568,239.14166,14952277,0,1,0,0,1,0,17.329
-1996800,-16.97,37173,-0.4444444444444444,456,219480,33.09,1154731,0,1,0,0,0,1,15.669
614400,1.0,-114411,0.4444444444444444,3945,216056,157.80167,56918844,0,1,0,1,0,0,13.121
-844800,5.0,-4760664,-0.4444444444444444,6078,221160,203.198,6079081,0,0,0,1,0,0,30.574
-748800,5.0,634041,-0.4444444444444444,2417,328996,80.536,6946645,0,1,0,0,1,0,25.558
-2048256,-17.97,416,-0.5555555555555554,3733,221160,311.1,2193902,0,0,1,0,0,1,13.329
-1900800,-0.9699999999999989,-736946,-0.4444444444444444,6520,648404,217.518,2258222,0,1,0,0,1,0,61.816
96000,0.1234579999999994,-4679989,0.0,3220,216820,107.443,4297868,1,0,0,0,1,0,11.025
-844800,-0.9699999999999989,-2760664,-0.4444444444444444,6078,300168,203.198,6079081,0,0,0,0,1,0,67.796
-1766400,13.145039,-2895277,-0.4444444444444444,3294,221152,131.76,1724802,1,0,0,1,0,0,15.653
-748800,-2.0,452160,-0.4444444444444444,6882,216820,286.995,18229956,0,1,0,0,0,1,10.169
-1900800,15.0,341112,-0.4444444444444444,3330,643256,110.966995,5508291,0,1,0,0,1,0,28.178
748800,0.0,-114411,0.4444444444444444,3945,216064,157.80167,56918844,0,1,0,0,1,0,21.749
1996800,5.0,5172818,0.4444444444444444,1170,215848,39.055,29256190,0,1,0,0,0,1,10.049
1152000,-2.0,5179648,0.0,7830,218932,326.58832,244926878,0,1,0,1,0,0,38.21
0,-2.0,2838852,0.0,3050,217348,127.221664,48993895,0,1,0,0,0,1,16.009
-748800,6.029411,-4813105,-0.4444444444444444,1021,165700,34.168,798230,1,0,0,1,0,0,16.397
-2048256,-17.97,-56217,-0.5555555555555554,3478,125668,290.01666,1913509,0,0,1,0,0,1,13.757
-748800,-6.969999999999999,-311840,-0.4444444444444444,6882,216820,286.995,18229956,0,1,0,0,0,1,11.505
-2048256,0.0,-185283,-0.5555555555555554,839,637032,69.93833,495843,0,0,1,0,1,0,25.782
-1900800,0.030000000000001137,-319551,-0.4444444444444444,6676,217336,222.53334,13920824,0,1,0,0,0,1,15.213
-230400,5.0,-4760664,0.0,6078,221160,203.198,6079081,0,0,0,0,1,0,27.07
-2048256,-12.0,-483604,-0.5555555555555554,3803,165700,316.95166,2194752,0,0,1,1,0,0,22.061
-896256,-17.97,-4944695,-0.5555555555555554,894,219464,74.535,515272,0,0,1,1,0,0,11.613
1152000,11.0,5943648,0.0,7830,218932,326.58832,244926878,0,1,0,0,0,1,10.033
0,-2.0,5943648,0.0,7830,698656,326.58832,244926878,0,1,0,0,1,0,55.231
-1900800,1.0,-60040,-0.4444444444444444,9484,654448,379.32,8627672,0,1,0,0,1,0,36.33
0,-2.0,80852,0.0,3050,710576,127.221664,48993895,0,1,0,0,1,0,129.9
0,-11.517333,255075,0.0,10112,165700,750.433,74487589,1,0,0,1,0,0,15.209
1996800,15.0,5750818,0.4444444444444444,1170,215848,39.055,29256190,0,1,0,1,0,0,10.493
-748800,5.0,-339875,-0.4444444444444444,8755,323196,292.092,17530090,0,1,0,0,1,0,51.211
0,1.0659330000000011,-1428997,0.0,6843,219656,273.816,53770740,1,0,0,1,0,0,47.019
-844800,-11.0,37173,-0.4444444444444444,456,219480,33.09,1154731,0,1,0,1,0,0,11.581
-134400,5.093457999999998,-2679989,0.0,3220,216820,107.443,4297868,1,0,0,0,1,0,25.294
-2048256,-13.0,-483604,-0.5555555555555554,3803,165700,316.95166,2194752,0,0,1,0,0,1,11.533
-1152000,-0.9699999999999989,-2240551,0.0,1109,674572,37.011665,12766479,0,1,0,0,1,0,189.5
-1996800,10.032558000000002,-146097,-0.4444444444444444,16146,218932,645.84,7742262,1,0,0,1,0,0,21.677
-1766400,0.3272970000000015,-2545758,-0.4444444444444444,2242,662784,74.815,4248018,1,0,0,0,1,0,87.725
0,-1.0,80852,0.0,3050,711424,127.221664,48993895,0,1,0,0,1,0,129.02
-1766400,0.039877000000000606,516982,-0.4444444444444444,8163,212772,326.583,43108248,1,0,0,1,0,0,38.274
-1900800,-0.9699999999999989,-2309959,-0.4444444444444444,2417,666852,80.536,6946645,0,1,0,0,1,0,169.143
-2048256,-12.0,-56217,-0.5555555555555554,3478,132132,290.01666,1913509,0,0,1,1,0,0,18.301
-1152000,0.0,1668484,0.0,4017,219656,167.39166,46189307,0,1,0,1,0,0,38.958
-1996800,-0.9699999999999989,-271968,-0.4444444444444444,4913,219656,163.897,5470732,0,0,0,1,0,0,38.93
-1152000,-16.487333,-2205925,0.0,10112,681788,750.433,74487589,1,0,0,0,1,0,88.806
844800,-1.0,1668484,0.4444444444444444,4017,219656,167.39166,46189307,0,1,0,0,1,0,10.709
614400,5.981791999999999,-167644,0.4444444444444444,21407,164988,714.371,58253046,1,0,0,1,0,0,12.249
-1766400,15.062963,596967,-0.4444444444444444,8117,219480,270.655,22091130,1,0,0,1,0,0,27.87
-1996800,-18.2942476,-4933320,-0.4444444444444444,2579,247900,452.689,3773200,1,0,0,0,0,1,14.421
-1152000,-4.969999999999999,-3994818,0.0,9001,123448,360.04834,45239304,0,1,0,1,0,0,32.85
-896256,-3.0,-4943283,-0.5555555555555554,839,221152,69.93833,495843,0,0,1,1,0,0,10.657
-748800,10.0,-2499802,-0.4444444444444444,5978,104612,239.14166,14952277,0,1,0,1,0,0,18.005
-1152000,-5.969999999999999,1387484,0.0,4017,219656,167.39166,46189307,0,1,0,0,0,1,14.949
-147456,-13.0,-2946293,-0.11111111111111094,2128,164736,177.33333,1190517,0,0,1,0,1,0,11.449
-748800,8.0,-2491840,-0.4444444444444444,6882,324716,286.995,18229956,0,1,0,0,1,0,53.951
614400,4.981791999999999,-167644,0.4444444444444444,21407,164988,714.371,58253046,1,0,0,1,0,0,12.749
-1766400,1.0217400000000012,-790904,-0.4444444444444444,9208,221152,368.32,1339625,1,0,0,0,0,1,10.677
0,18.05252,1278100,0.0,14305,323540,476.957,82698405,1,0,0,0,1,0,13.917
-1900800,0.1234579999999994,-218989,-0.4444444444444444,3220,216820,107.443,4297868,1,0,0,0,0,1,16.237
-748800,8.0,-2491840,-0.4444444444444444,6882,216820,286.995,18229956,0,1,0,1,0,0,20.801
-2048256,-17.97,-3217,-0.5555555555555554,3478,124296,290.01666,1913509,0,0,1,0,0,1,14.021
-748800,1.0,32165,-0.4444444444444444,15158,56780,606.28,20777666,0,1,0,1,0,0,12.649
-1900800,5.029411,-2813105,-0.4444444444444444,1021,636068,34.168,798230,1,0,0,0,1,0,78.121
-1996800,14.0,-271968,-0.4444444444444444,4913,219656,163.897,5470732,0,0,0,1,0,0,22.961
-1900800,0.030000000000001137,391449,-0.4444444444444444,6676,646492,222.53334,13920824,0,1,0,0,1,0,37.974
-896256,-3.0,-186695,-0.5555555555555554,894,309508,74.535,515272,0,0,1,0,1,0,17.265
-844800,-12.0,-2720827,-0.4444444444444444,456,313248,33.09,1154731,0,1,0,0,1,0,55.471
0,0.030000000000001137,5883818,0.0,1170,216020,39.055,29256190,0,1,0,0,0,0,13.069
-844800,4.0,-2664,-0.4444444444444444,6078,299440,203.198,6079081,0,0,0,0,1,0,25.298
-896256,-13.0,-767217,-0.5555555555555554,3478,308748,290.01666,1913509,0,0,1,0,1,0,36.974
-1900800,0.030000000000001137,-2499551,-0.4444444444444444,6676,217336,222.53334,13920824,0,1,0,0,0,1,16.285
96000,14.0,-2519875,0.0,8755,219480,292.092,17530090,0,1,0,0,1,0,10.865
614400,6.002231999999999,1232426,0.4444444444444444,13441,217080,448.575,115083398,1,0,0,1,0,0,17.681
1766400,-4.904066999999998,1032003,0.4444444444444444,6843,219656,273.816,53770740,1,0,0,0,1,0,24.13
-2048256,0.0,416,-0.5555555555555554,3733,221160,311.1,2193902,0,0,1,1,0,0,13.545
-2048256,-12.0,-481435,-0.5555555555555554,3074,219480,256.20834,1843600,0,0,1,1,0,0,16.697
-748800,1.0,-2627999,-0.4444444444444444,1318,321768,52.68,2449633,0,1,0,0,1,0,78.617
-844800,-4.937441999999997,-2904097,-0.4444444444444444,16146,320504,645.84,7742262,1,0,0,0,1,0,77.365
0,-9.0,-4027428,0.0,956,219656,63.667,7740095,0,1,0,1,0,0,14.665
-1152000,0.0,29586,0.0,2669,219480,106.765,11338266,0,1,0,1,0,0,38.342
-2048256,-18.0,-187662,-0.5555555555555554,344,221160,49.178333,334032,0,0,1,1,0,0,11.505
-748800,5.0,-2309959,-0.4444444444444444,2417,219480,80.536,6946645,0,1,0,0,0,1,12.081
-1766400,5.062963,410967,-0.4444444444444444,8117,638484,270.655,22091130,1,0,0,0,1,0,51.639
-2048256,0.0,-2945594,-0.5555555555555554,404,634616,33.66833,228974,0,0,1,0,1,0,67.756
-844800,-4.937441999999997,-146097,-0.4444444444444444,16146,218932,645.84,7742262,1,0,0,1,0,0,18.133
-1996800,-4.0,-4755509,-0.4444444444444444,4081,221152,340.424,10403848,0,0,0,1,0,0,28.59
748800,-16.487333,255075,0.4444444444444444,10112,170880,750.433,74487589,1,0,0,0,1,0,10.601
-748800,0.0,46705,-0.4444444444444444,1056,329324,42.2,1522924,0,1,0,0,1,0,20.613
-2048256,0.0,-3217,-0.5555555555555554,3478,130476,290.01666,1913509,0,0,1,1,0,0,17.401
0,-4.930122999999998,516982,0.0,8163,215712,326.583,43108248,1,0,0,0,1,0,18.689
0,-5.969999999999999,1387484,0.0,4017,219656,167.39166,46189307,0,1,0,1,0,0,25.386
0,5.062992000000001,-2739333,0.0,7636,221160,254.922,8306231,1,0,0,0,1,0,18.173
614400,6.0,-300088,0.4444444444444444,16727,59132,557.58,188177167,0,1,0,1,0,0,11.021
-1996800,5.0,225642,-0.4444444444444444,13230,670540,440.967,15524405,0,1,0,0,1,0,27.002
614400,10.0,2643589,0.4444444444444444,3945,216020,157.80167,56918844,0,1,0,1,0,0,11.061
-748800,14.0,350908,-0.4444444444444444,4733,328136,157.891,8030894,0,1,0,0,1,0,11.501
-1900800,0.030000000000001137,-319551,-0.4444444444444444,6676,217348,222.53334,13920824,0,1,0,1,0,0,44.763
0,1.0398770000000006,946982,0.0,8163,215712,326.583,43108248,1,0,0,0,1,0,10.633
-1766400,5.0,-2389689,-0.4444444444444444,19994,647700,666.449,50842699,0,1,0,0,1,0,143.673
-1152000,5.0,2703449,0.0,1109,219480,37.011665,12766479,0,1,0,1,0,0,45.123
-230400,4.0,-2664,0.0,6078,221160,203.198,6079081,0,0,0,0,1,0,11.117
-748800,6.0,186979,-0.4444444444444444,17438,218932,581.233,21504146,0,1,0,1,0,0,15.861
0,-1.5173330000000007,738075,0.0,10112,165700,750.433,74487589,1,0,0,1,0,0,10.197
-748800,13.0,-250295,-0.4444444444444444,1056,329476,42.2,1522924,0,1,0,0,1,0,17.445
-748800,5.093457999999998,-4679989,-0.4444444444444444,3220,325048,107.443,4297868,1,0,0,0,1,0,67.952
-147456,0.0,-4944604,-0.11111111111111094,3803,165700,316.95166,2194752,0,0,1,0,1,0,10.417
-1900800,6.093457999999998,-499989,-0.4444444444444444,3220,216820,107.443,4297868,1,0,0,0,0,1,12.317
-896256,-3.0,-54410,-0.5555555555555554,1564,309940,130.35667,889537,0,0,1,0,1,0,13.933
-230400,18.0,-2718358,0.0,13230,219656,440.967,15524405,0,1,0,0,1,0,10.625
-1900800,-6.969999999999999,-4491840,-0.4444444444444444,6882,216820,286.995,18229956,0,1,0,0,0,1,17.985
-1996800,-0.9699999999999989,122296,-0.4444444444444444,5694,640932,189.956,5492026,0,0,0,0,1,0,43.199
0,-2.0,2999648,0.0,7830,703668,326.58832,244926878,0,1,0,0,1,0,128.34
-1996800,-4.894340999999997,78334,-0.4444444444444444,7623,660508,304.927,5120280,1,0,0,0,1,0,34.078
0,5.0,-240551,0.0,1109,219480,37.011665,12766479,0,1,0,1,0,0,39.194
1766400,0.030000000000001137,5936818,0.4444444444444444,1170,216020,39.055,29256190,0,1,0,0,1,0,21.801
